TF	EntrezID	Complex_Name	PubMedID	Proteins	V2	V2	V2	V2	V2	SYMBOL	GENE_ID_Check
ESR1	2099	Er-alpha-p53-hdm2 complex	10766163	MDM2	2395	3443	5342	2862	1084	MDM2	ENSG00000135679
ESR1	2099	ESR1-JUN-GRIP1 complex	11477071	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	ESR1-JUN-GRIP1 complex	11477071	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
ESR1	2099	ESR1-JUN-GRIP1 complex	11477071	GRIP1	49	138	183	61	35	GRIP1	ENSG00000155974
ESR1	2099	ESR1-JUN complex	11477071	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	ESR1-JUN complex	11477071	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
ESR1	2099	CAV1-VDAC1-ESR1 complex	19595769	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	CAV1-VDAC1-ESR1 complex	19595769	VDAC1	1821	457	2119	2772	250	VDAC1	ENSG00000213585
ESR1	2099	CAV1-VDAC1-ESR1 complex	19595769	CAV1	344	57	176	253	84	CAV1	ENSG00000105974
ESR1	2099	Estrogen receptor complex (ESR1, EP300, NCOA1)	8876171	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	Estrogen receptor complex (ESR1, EP300, NCOA1)	8876171	EP300	1909	1084	2516	1417	575	EP300	ENSG00000100393
ESR1	2099	Estrogen receptor complex (ESR1, EP300, NCOA1)	8876171	NCOA1	590	615	763	530	195	NCOA1	ENSG00000084676
ESR1	2099	ERS1-MDM2 complex	26909605	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	ERS1-MDM2 complex	26909605	MDM2	2395	3443	5342	2862	1084	MDM2	ENSG00000135679
ESR1	2099	ESR1-MDM4 complex	26909605	MDM4	1521	1270	1453	1769	839	MDM4	ENSG00000198625
ESR1	2099	ESR1-MDM4 complex	26909605	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	CTNNB1-ESR1 complex	17852416	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	CTNNB1-ESR1 complex	17852416	CTNNB1	3975	1198	1640	3910	797	CTNNB1	ENSG00000168036
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED7	147	122	126	259	38	MED7	ENSG00000155868
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED14	618	331	286	306	135	MED14	ENSG00000180182
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED24	685	632	425	1171	243	MED24	ENSG00000008838
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED6	204	110	103	177	99	MED6	ENSG00000133997
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	CCNC	709	500	472	437	119	CCNC	ENSG00000112237
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	CDK8	213	48	61	107	41	CDK8	ENSG00000132964
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	EP300	1909	1084	2516	1417	575	EP300	ENSG00000100393
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED21	262	125	156	145	48	MED21	ENSG00000152944
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED1	796	461	1122	1262	186	MED1	ENSG00000125686
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	NCOA1	590	615	763	530	195	NCOA1	ENSG00000084676
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED12	518	268	321	353	138	MED12	ENSG00000184634
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED10	184	49	303	169	36	MED10	ENSG00000133398
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED20	143	93	162	130	34	MED20	ENSG00000124641
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED17	83	252	104	106	52	MED17	ENSG00000042429
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED13	1382	1041	1521	1521	485	MED13	ENSG00000108510
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED23	177	325	325	286	145	MED23	ENSG00000112282
ESR1	2099	ESR1-TRAP/Mediator coactivator-complex	11867769	MED16	409	108	209	405	86	MED16	ENSG00000175221
ESR1	2099	FOXO1-ESR1 complex	11353774	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	FOXO1-ESR1 complex	11353774	FOXO1	929	919	1487	702	774	FOXO1	ENSG00000150907
ETV1	2115	No complex	No complex	ETV1	20	62	56	90	97	ETV1	ENSG00000006468
AHR	196	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	ARNT	695	420	373	668	174	ARNT	ENSG00000143437
AHR	196	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	AHR	88	313	208	712	78	AHR	ENSG00000106546
AHR	196	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	RBX1	757	152	663	656	82	RBX1	ENSG00000100387
AHR	196	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	TBL3	285	210	173	393	70	TBL3	ENSG00000183751
AHR	196	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	CUL4B	936	300	354	333	165	CUL4B	ENSG00000158290
AHR	196	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	DDB1	1845	614	598	1142	332	DDB1	ENSG00000167986
IKZF1	10320	No complex	No complex	IKZF1	18	13	26	11	28	IKZF1	ENSG00000185811
ZNF3	7551	No complex	No complex	ZNF3	361	129	169	442	175	ZNF3	ENSG00000166526
NRF1	4899	No complex	No complex	NRF1	164	168	96	160	86	NRF1	ENSG00000106459
EZH2	2146	EED-EZH2 complex	12351676	EED	192	104	101	166	54	EED	ENSG00000074266
EZH2	2146	EED-EZH2 complex	12351676	RBBP4	1258	318	664	1132	285	RBBP4	ENSG00000162521
EZH2	2146	EED-EZH2 complex	12351676	SUZ12	713	981	1852	1296	264	SUZ12	ENSG00000178691
EZH2	2146	EED-EZH2 complex	12351676	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	EED-EZH2 complex	12351676	AEBP2	675	467	389	436	151	AEBP2	ENSG00000139154
EZH2	2146	Polycomb repressive complex 4	15684044	EED	192	104	101	166	54	EED	ENSG00000074266
EZH2	2146	Polycomb repressive complex 4	15684044	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	Polycomb repressive complex 4	15684044	SIRT1	334	152	218	165	61	SIRT1	ENSG00000096717
EZH2	2146	EED-EZH-YY1 polycomb complex	11158321	EED	192	104	101	166	54	EED	ENSG00000074266
EZH2	2146	EED-EZH-YY1 polycomb complex	11158321	YY1	1112	2031	1647	1314	322	YY1	ENSG00000100811
EZH2	2146	EED-EZH-YY1 polycomb complex	11158321	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	EED-EZH polycomb complex	9584199	EED	192	104	101	166	54	EED	ENSG00000074266
EZH2	2146	EED-EZH polycomb complex	9584199	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	EED-EZH2-PHF19 complex	21143197	EED	192	104	101	166	54	EED	ENSG00000074266
EZH2	2146	EED-EZH2-PHF19 complex	21143197	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	EED-EZH2-PHF19 complex	21143197	PHF19	157	17	34	146	18	PHF19	ENSG00000119403
EZH2	2146	HIC1-PCL3L-PCR2 complex	22315224	EED	192	104	101	166	54	EED	ENSG00000074266
EZH2	2146	HIC1-PCL3L-PCR2 complex	22315224	HIC1	33	28	15	49	21	HIC1	ENSG00000177374
EZH2	2146	HIC1-PCL3L-PCR2 complex	22315224	SUZ12	713	981	1852	1296	264	SUZ12	ENSG00000178691
EZH2	2146	HIC1-PCL3L-PCR2 complex	22315224	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	HIC1-PCL3L-PCR2 complex	22315224	PHF19	157	17	34	146	18	PHF19	ENSG00000119403
EZH2	2146	BRD7-EZH2-SUZ12 complex	21447565	SUZ12	713	981	1852	1296	264	SUZ12	ENSG00000178691
EZH2	2146	BRD7-EZH2-SUZ12 complex	21447565	EZH2	243	232	78	251	159	EZH2	ENSG00000106462
EZH2	2146	BRD7-EZH2-SUZ12 complex	21447565	BRD7	563	398	449	820	144	BRD7	ENSG00000166164
CEBPD	1052	No complex	No complex	CEBPD	67	247	306	1110	67	CEBPD	ENSG00000221869
HNF4G	3174	No complex	No complex	HNF4G	47	3	33	97	4	HNF4G	ENSG00000164749
OSR2	116039	No complex	No complex	OSR2	30	28	51	53	21	OSR2	ENSG00000164920
RAD21	5885	Cohesin-SA1 complex	11250156	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
RAD21	5885	Cohesin-SA1 complex	11250156	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
RAD21	5885	Cohesin-SA1 complex	11250156	STAG1	319	196	505	327	201	STAG1	ENSG00000118007
RAD21	5885	Cohesin-SA1 complex	11250156	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
RAD21	5885	Cohesin-SA2 complex	11250156	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
RAD21	5885	Cohesin-SA2 complex	11250156	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
RAD21	5885	Cohesin-SA2 complex	11250156	STAG2	1532	627	1349	952	214	STAG2	ENSG00000101972
RAD21	5885	Cohesin-SA2 complex	11250156	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	SMARCA5	1104	447	883	823	261	SMARCA5	ENSG00000153147
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	MTA2	1449	458	473	776	125	MTA2	ENSG00000149480
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	RBBP4	1258	318	664	1132	285	RBBP4	ENSG00000162521
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	CHD3	1161	811	1373	3452	1346	CHD3	ENSG00000170004
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	MTA1	471	241	238	323	139	MTA1	ENSG00000182979
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	RBBP7	1725	340	558	967	116	RBBP7	ENSG00000102054
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	STAG2	1532	627	1349	952	214	STAG2	ENSG00000101972
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	STAG1	319	196	505	327	201	STAG1	ENSG00000118007
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	BAZ1A	687	440	564	1525	410	BAZ1A	ENSG00000198604
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	MBD2	285	415	858	698	131	MBD2	ENSG00000134046
RAD21	5885	SNF2h-cohesin-NuRD complex	12198550	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
RAD21	5885	Sororin-cohesin complex	15837422	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
RAD21	5885	Sororin-cohesin complex	15837422	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
RAD21	5885	Sororin-cohesin complex	15837422	PDS5A	1813	790	913	1304	344	PDS5A	ENSG00000121892
RAD21	5885	Sororin-cohesin complex	15837422	CDCA5	795	58	46	121	21	CDCA5	ENSG00000146670
RAD21	5885	Sororin-cohesin complex	15837422	PDS5B	512	318	282	481	309	PDS5B	ENSG00000083642
RAD21	5885	Sororin-cohesin complex	15837422	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
RAD21	5885	DDX11-RAD21-SMC1A-SMC3 complex	17105772	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
RAD21	5885	DDX11-RAD21-SMC1A-SMC3 complex	17105772	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
RAD21	5885	DDX11-RAD21-SMC1A-SMC3 complex	17105772	DDX11	575	264	70	382	191	DDX11	ENSG00000013573
RAD21	5885	DDX11-RAD21-SMC1A-SMC3 complex	17105772	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
MYC	4609	c-MYC-ATPase-helicase complex	10882073	ACTL6A	210	120	174	377	50	ACTL6A	ENSG00000136518
MYC	4609	c-MYC-ATPase-helicase complex	10882073	MYC	115	195	87	712	88	MYC	ENSG00000136997
MYC	4609	c-MYC-ATPase-helicase complex	10882073	RUVBL2	649	356	375	988	164	RUVBL2	ENSG00000183207
MYC	4609	c-MYC-ATPase-helicase complex	10882073	RUVBL1	704	140	345	722	62	RUVBL1	ENSG00000175792
MYC	4609	c-MYC-ATPase-helicase complex	10882073	TRRAP	1121	373	407	854	615	TRRAP	ENSG00000196367
MYC	4609	MYC-DNMT3A-ZBTB17 complex	15616584	MYC	115	195	87	712	88	MYC	ENSG00000136997
MYC	4609	MYC-DNMT3A-ZBTB17 complex	15616584	ZBTB17	111	120	117	165	66	ZBTB17	ENSG00000116809
MYC	4609	MYC-DNMT3A-ZBTB17 complex	15616584	DNMT3A	1959	574	699	1410	252	DNMT3A	ENSG00000119772
MYC	4609	MYC-MAX-KAT2A-TRRAP complex	10611234	MYC	115	195	87	712	88	MYC	ENSG00000136997
MYC	4609	MYC-MAX-KAT2A-TRRAP complex	10611234	MAX	236	106	226	426	87	MAX	ENSG00000125952
MYC	4609	MYC-MAX-KAT2A-TRRAP complex	10611234	KAT2A	400	1234	586	2108	580	KAT2A	ENSG00000108773
MYC	4609	MYC-MAX-KAT2A-TRRAP complex	10611234	TRRAP	1121	373	407	854	615	TRRAP	ENSG00000196367
MYC	4609	MYC-MAX complex	8224841	MYC	115	195	87	712	88	MYC	ENSG00000136997
MYC	4609	MYC-MAX complex	8224841	MAX	236	106	226	426	87	MAX	ENSG00000125952
MYC	4609	MYC-TRRAP-KAT2A complex	10611234	MYC	115	195	87	712	88	MYC	ENSG00000136997
MYC	4609	MYC-TRRAP-KAT2A complex	10611234	KAT2A	400	1234	586	2108	580	KAT2A	ENSG00000108773
MYC	4609	MYC-TRRAP-KAT2A complex	10611234	TRRAP	1121	373	407	854	615	TRRAP	ENSG00000196367
NFIB	4781	No complex	No complex	NFIB	105	158	214	1103	214	NFIB	ENSG00000147862
KLF9	687	No complex	No complex	KLF9	114	86	58	137	37	KLF9	ENSG00000119138
KLF4	9314	No complex	No complex	KLF4	141	32	5	233	24	KLF4	ENSG00000136826
ZBTB6	10773	No complex	No complex	ZBTB6	78	25	28	94	16	ZBTB6	ENSG00000186130
PBX3	5090	No complex	No complex	PBX3	112	98	31	132	58	PBX3	ENSG00000167081
RXRA	6256	CBP-RARA-RXRA-DNA complex, ligand stimulated	8616895	RARA	332	51	143	465	24	RARA	ENSG00000131759
RXRA	6256	CBP-RARA-RXRA-DNA complex, ligand stimulated	8616895	RXRA	1631	192	576	452	217	RXRA	ENSG00000186350
RXRA	6256	CBP-RARA-RXRA-DNA complex, ligand stimulated	8616895	CREBBP	1105	1083	633	1133	400	CREBBP	ENSG00000005339
KLF6	1316	No complex	No complex	KLF6	8878	5467	2465	10594	709	KLF6	ENSG00000067082
ZEB1	6935	CtBP complex	12700765	CBX4	218	200	99	203	60	CBX4	ENSG00000141582
ZEB1	6935	CtBP complex	12700765	ZEB2	168	123	138	211	369	ZEB2	ENSG00000169554
ZEB1	6935	CtBP complex	12700765	KDM1A	479	419	546	783	157	KDM1A	ENSG00000004487
ZEB1	6935	CtBP complex	12700765	ZNF217	945	330	1158	1840	253	ZNF217	ENSG00000171940
ZEB1	6935	CtBP complex	12700765	ZEB1	63	153	81	181	235	ZEB1	ENSG00000148516
ZEB1	6935	CtBP complex	12700765	CTBP2	778	759	1546	1733	207	CTBP2	ENSG00000175029
ZEB1	6935	CtBP complex	12700765	CTBP1	520	543	539	1183	251	CTBP1	ENSG00000159692
ZEB1	6935	CtBP complex	12700765	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
ZEB1	6935	CtBP complex	12700765	ZNF516	637	167	182	268	176	ZNF516	ENSG00000101493
ZEB1	6935	CtBP complex	12700765	RREB1	1074	1048	1083	1634	470	RREB1	ENSG00000124782
ZEB1	6935	CtBP complex	12700765	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
ZEB1	6935	CtBP complex	12700765	LCOR	1133	899	1106	1180	334	LCOR	ENSG00000196233
ZEB1	6935	CtBP complex	12700765	EHMT2	134	64	121	137	55	EHMT2	ENSG00000204371
ZEB1	6935	CtBP complex	12700765	EHMT1	495	508	276	823	340	EHMT1	ENSG00000181090
ZEB1	6935	CtBP complex	12700765	RCOR3	998	332	285	486	227	RCOR3	ENSG00000117625
ZEB1	6935	CtBP complex	12700765	RCOR1	494	221	388	459	170	RCOR1	ENSG00000089902
ZEB1	6935	CtBP complex	12700765	CDYL	217	257	415	284	95	CDYL	ENSG00000153046
ZEB1	6935	CtBP core complex	12700765	KDM1A	479	419	546	783	157	KDM1A	ENSG00000004487
ZEB1	6935	CtBP core complex	12700765	ZEB1	63	153	81	181	235	ZEB1	ENSG00000148516
ZEB1	6935	CtBP core complex	12700765	CTBP2	778	759	1546	1733	207	CTBP2	ENSG00000175029
ZEB1	6935	CtBP core complex	12700765	CTBP1	520	543	539	1183	251	CTBP1	ENSG00000159692
ZEB1	6935	CtBP core complex	12700765	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
ZEB1	6935	CtBP core complex	12700765	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
ZEB1	6935	CtBP core complex	12700765	EHMT2	134	64	121	137	55	EHMT2	ENSG00000204371
ZEB1	6935	CtBP core complex	12700765	EHMT1	495	508	276	823	340	EHMT1	ENSG00000181090
ZEB1	6935	CtBP core complex	12700765	RCOR1	494	221	388	459	170	RCOR1	ENSG00000089902
CREM	1390	No complex	No complex	CREM	297	128	263	181	75	CREM	ENSG00000095794
EGR2	1959	No complex	No complex	EGR2	94	18	3	15	5	EGR2	ENSG00000122877
SMC3	9126	Cohesin-SA1 complex	11250156	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
SMC3	9126	Cohesin-SA1 complex	11250156	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
SMC3	9126	Cohesin-SA1 complex	11250156	STAG1	319	196	505	327	201	STAG1	ENSG00000118007
SMC3	9126	Cohesin-SA1 complex	11250156	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
SMC3	9126	Cohesin-SA2 complex	11250156	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
SMC3	9126	Cohesin-SA2 complex	11250156	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
SMC3	9126	Cohesin-SA2 complex	11250156	STAG2	1532	627	1349	952	214	STAG2	ENSG00000101972
SMC3	9126	Cohesin-SA2 complex	11250156	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	SMARCA5	1104	447	883	823	261	SMARCA5	ENSG00000153147
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	MTA2	1449	458	473	776	125	MTA2	ENSG00000149480
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	RBBP4	1258	318	664	1132	285	RBBP4	ENSG00000162521
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	CHD3	1161	811	1373	3452	1346	CHD3	ENSG00000170004
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	MTA1	471	241	238	323	139	MTA1	ENSG00000182979
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	RBBP7	1725	340	558	967	116	RBBP7	ENSG00000102054
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	STAG2	1532	627	1349	952	214	STAG2	ENSG00000101972
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	STAG1	319	196	505	327	201	STAG1	ENSG00000118007
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	BAZ1A	687	440	564	1525	410	BAZ1A	ENSG00000198604
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	MBD2	285	415	858	698	131	MBD2	ENSG00000134046
SMC3	9126	SNF2h-cohesin-NuRD complex	12198550	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
SMC3	9126	SMC1-SMC3 complex	9789013	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
SMC3	9126	SMC1-SMC3 complex	9789013	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
SMC3	9126	Sororin-cohesin complex	15837422	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
SMC3	9126	Sororin-cohesin complex	15837422	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
SMC3	9126	Sororin-cohesin complex	15837422	PDS5A	1813	790	913	1304	344	PDS5A	ENSG00000121892
SMC3	9126	Sororin-cohesin complex	15837422	CDCA5	795	58	46	121	21	CDCA5	ENSG00000146670
SMC3	9126	Sororin-cohesin complex	15837422	PDS5B	512	318	282	481	309	PDS5B	ENSG00000083642
SMC3	9126	Sororin-cohesin complex	15837422	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
SMC3	9126	DDX11-RAD21-SMC1A-SMC3 complex	17105772	RAD21	2061	545	1575	2154	294	RAD21	ENSG00000164754
SMC3	9126	DDX11-RAD21-SMC1A-SMC3 complex	17105772	SMC1A	2817	592	821	1214	245	SMC1A	ENSG00000072501
SMC3	9126	DDX11-RAD21-SMC1A-SMC3 complex	17105772	DDX11	575	264	70	382	191	DDX11	ENSG00000013573
SMC3	9126	DDX11-RAD21-SMC1A-SMC3 complex	17105772	SMC3	2495	681	1232	1625	314	SMC3	ENSG00000108055
ZNF143	7702	HCFC1-THAP11-ZNF143 complex	26416877	HCFC1	1526	510	747	970	256	HCFC1	ENSG00000172534
ZNF143	7702	HCFC1-THAP11-ZNF143 complex	26416877	ZNF143	178	110	94	144	27	ZNF143	ENSG00000166478
ZNF143	7702	HCFC1-THAP11-ZNF143 complex	26416877	THAP11	124	17	66	112	18	THAP11	ENSG00000168286
TEAD1	7003	No complex	No complex	TEAD1	1947	1124	1380	985	234	TEAD1	ENSG00000187079
SOX6	55553	No complex	No complex	SOX6	16	92	265	382	163	SOX6	ENSG00000110693
WT1	7490	No complex	No complex	WT1	21	17	11	14	54	WT1	ENSG00000184937
CREB3L1	90993	No complex	No complex	CREB3L1	275	69	200	25	72	CREB3L1	ENSG00000157613
SPI1	6688	PU.1-SIN3A-HDAC complex	11593411	SPI1	46	11	53	22	48	SPI1	ENSG00000066336
SPI1	6688	PU.1-SIN3A-HDAC complex	11593411	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
SPI1	6688	PU.1-SIN3A-HDAC complex	11593411	SIN3A	1178	465	361	608	169	SIN3A	ENSG00000169375
SPI1	6688	PU.1-TBP complex	14647463	SPI1	46	11	53	22	48	SPI1	ENSG00000066336
SPI1	6688	PU.1-TBP complex	14647463	TBP	102	156	134	144	53	TBP	ENSG00000112592
ESRRA	2101	No complex	No complex	ESRRA	606	60	89	226	26	ESRRA	ENSG00000173153
FOSL1	8061	No complex	No complex	FOSL1	38	36	5	233	29	FOSL1	ENSG00000175592
ETS1	2113	ETS2-ETS1 complex	9334186	ETS1	461	89	151	654	80	ETS1	ENSG00000134954
ETS1	2113	ETS2-ETS1 complex	9334186	ETS2	554	690	1125	1484	185	ETS2	ENSG00000157557
ETS1	2113	ETS1-PRX1 complex	29275566	ETS1	461	89	151	654	80	ETS1	ENSG00000134954
ETS1	2113	ETS1-PRX1 complex	29275566	PRRX1	79	39	42	242	34	PRRX1	ENSG00000116132
ATF1	466	No complex	No complex	ATF1	172	121	119	133	66	ATF1	ENSG00000123268
NR4A1	3164	No complex	No complex	NR4A1	1060	2164	87	659	584	NR4A1	ENSG00000123358
SP1	6667	SP1-MCAF2 complex	15691849	SP1	1385	851	1361	1861	415	SP1	ENSG00000185591
SP1	6667	SP1-MCAF2 complex	15691849	ATF7IP2	7	374	181	91	82	ATF7IP2	ENSG00000166669
SP1	6667	p53-SP1 complex	15674334	TP53	630	334	825	1156	128	TP53	ENSG00000141510
SP1	6667	p53-SP1 complex	15674334	SP1	1385	851	1361	1861	415	SP1	ENSG00000185591
SP1	6667	SMAD3-SMAD4-SP1 complex	11432852	SP1	1385	851	1361	1861	415	SP1	ENSG00000185591
SP1	6667	SMAD3-SMAD4-SP1 complex	11432852	SMAD3	696	804	612	723	1422	SMAD3	ENSG00000166949
SP1	6667	SMAD3-SMAD4-SP1 complex	11432852	SMAD4	782	465	396	466	122	SMAD4	ENSG00000141646
SP1	6667	HCF-1 complex	12670868	SETD1A	342	268	116	393	90	SETD1A	ENSG00000099381
SP1	6667	HCF-1 complex	12670868	OGT	2383	1102	1944	1894	681	OGT	ENSG00000147162
SP1	6667	HCF-1 complex	12670868	SIN3B	345	706	435	621	223	SIN3B	ENSG00000127511
SP1	6667	HCF-1 complex	12670868	SAP30	21	4	0	14	13	SAP30	ENSG00000164105
SP1	6667	HCF-1 complex	12670868	HSP90AA1	23642	8422	36189	38187	8824	HSP90AA1	ENSG00000080824
SP1	6667	HCF-1 complex	12670868	SP1	1385	851	1361	1861	415	SP1	ENSG00000185591
SP1	6667	HCF-1 complex	12670868	HSPA5	8496	2973	5151	8960	629	HSPA5	ENSG00000044574
SP1	6667	HCF-1 complex	12670868	HSPA8	11362	1565	3779	3216	1366	HSPA8	ENSG00000109971
SP1	6667	HCF-1 complex	12670868	HSPA4	2229	614	1758	1802	366	HSPA4	ENSG00000170606
SP1	6667	HCF-1 complex	12670868	HCFC1	1526	510	747	970	256	HCFC1	ENSG00000172534
SP1	6667	HCF-1 complex	12670868	WDR5	844	134	129	336	92	WDR5	ENSG00000196363
SP1	6667	HCF-1 complex	12670868	RBBP4	1258	318	664	1132	285	RBBP4	ENSG00000162521
SP1	6667	HCF-1 complex	12670868	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
SP1	6667	HCF-1 complex	12670868	RBBP7	1725	340	558	967	116	RBBP7	ENSG00000102054
SP1	6667	HCF-1 complex	12670868	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
